timestamp,open,high,low,close,volume,delta,delta_pct,cvd,whale_buy_pct,whale_sell_pct,rejection_bot,rejection_top,candle_type
2025-03-20 09:30:00,85971.53,86034.51,85795.53,85877.28,21683529.9855,-7316980.6336,-0.3374,-54608211.2252,0.2346,0.56,0.2574,0.2857,Continuação
2025-03-20 10:00:00,85877.28,85943.74,84755.14,85246.35,91628165.5544,-16599760.0188,-0.1812,-71207971.244,0.3051,0.4737,0.2663,0.1668,Continuação
2025-03-20 10:30:00,85246.35,85442.23,85113.39,85173.78,38445693.8454,2747106.9799,0.0715,-68460864.2641,0.4274,0.3632,0.271,0.031,Continuação
2025-03-20 11:00:00,85173.78,85386.41,85168.36,85303.04,19821398.7296,566595.7844,0.0286,-67894268.4797,0.3795,0.3673,0.1857,0.1379,Continuação
2025-03-20 11:30:00,85303.03,85514.15,85282.43,85502.17,20225731.6974,953789.2301,0.0472,-66940479.2496,0.3842,0.3541,0.0517,0.5682,Continuação
2025-03-20 12:00:00,85502.16,85564.0,85335.5,85371.82,20087021.3259,-3102897.1126,-0.1545,-70043376.3621,0.3181,0.4647,0.2908,0.177,Continuação
2025-03-20 12:30:00,85371.82,85454.55,85207.99,85356.07,17780813.0621,-2129141.4364,-0.1197,-72172517.7986,0.347,0.4576,0.2402,0.1566,Continuação
2025-03-20 13:00:00,85356.06,85363.64,85080.57,85149.59,19016130.2443,-2322618.8673,-0.1221,-74495136.6659,0.3513,0.4089,0.1376,0.316,Continuação
2025-03-20 13:30:00,85149.59,85870.0,85118.78,85513.81,73195872.5818,-1667263.9386,-0.0228,-76162400.6044,0.3795,0.3892,0.0941,0.2753,Continuação
2025-03-20 14:00:00,85513.44,86532.04,85471.1,86344.29,100083662.3022,14163435.3405,0.1415,-61998965.2639,0.4703,0.3407,0.042,0.3651,Continuação
2025-03-20 14:30:00,86344.29,86370.56,85916.98,86171.86,51342886.4008,-6872597.3583,-0.1339,-68871562.6222,0.3488,0.4598,0.1094,0.2596,Continuação
2025-03-20 15:00:00,86171.86,86219.05,85260.06,85686.41,83608808.4114,-17875846.419,-0.2138,-86747409.0411,0.309,0.5127,0.2,0.0762,Continuação
2025-03-20 15:30:00,85686.41,85713.93,84565.16,84691.76,143056654.4459,-52533591.2875,-0.3672,-139281000.3287,0.2376,0.5762,0.2761,0.1093,Continuação
2025-03-20 16:00:00,84691.27,84908.0,84064.98,84075.48,88253082.6915,-7439292.49,-0.0843,-146720292.8187,0.3755,0.4497,0.1433,0.1918,Continuação
2025-03-20 16:30:00,84075.48,84248.79,83655.23,83802.01,89653415.695,-14250889.5023,-0.159,-160971182.321,0.3405,0.4919,0.3097,0.1693,Continuação
2025-03-20 17:00:00,83802.01,84205.93,83741.62,83805.07,66642868.5862,15339160.5604,0.2302,-145632021.7606,0.5279,0.3081,0.184,0.1532,Continuação
2025-03-20 17:30:00,83805.08,84366.52,83800.0,84093.43,43137328.0367,2550570.9556,0.0591,-143081450.805,0.4286,0.3783,0.0995,0.2866,Continuação
2025-03-20 18:00:00,84093.43,84344.0,83973.67,83978.26,35123471.5798,155138.7771,0.0044,-142926312.0279,0.4077,0.4185,0.1915,0.153,Continuação
2025-03-20 18:30:00,83978.27,84248.8,83945.65,84060.53,18737099.3329,1239327.4452,0.0661,-141686984.5827,0.4234,0.3865,0.1858,0.1322,Continuação
2025-03-20 19:00:00,84060.53,84283.32,83922.0,84054.01,22779025.8845,-4941411.1883,-0.2169,-146628395.771,0.2932,0.5333,0.2049,0.2095,Continuação
2025-03-20 19:30:00,84054.0,84419.99,84044.0,84174.79,24030312.7915,2335646.3621,0.0972,-144292749.4089,0.4232,0.338,0.0481,0.2652,Continuação
2025-03-20 20:00:00,84176.87,84550.32,84141.3,84497.43,19824333.1172,4201661.9702,0.2119,-140091087.4388,0.4989,0.3115,0.1718,0.4796,Continuação
2025-03-20 20:30:00,84497.43,84609.21,84430.74,84530.1,21123854.9425,-5960730.1579,-0.2822,-146051817.5967,0.2766,0.5229,0.1044,0.1658,Continuação
2025-03-20 21:00:00,84530.09,84601.89,84250.67,84424.97,18739919.7209,2055738.1372,0.1097,-143996079.4595,0.4725,0.3589,0.5078,0.2429,Continuação
2025-03-20 21:30:00,84424.97,84576.9,84304.34,84350.0,15968629.8452,-466409.5763,-0.0292,-144462489.0358,0.384,0.424,0.3321,0.2589,Continuação
2025-03-20 22:00:00,84350.0,84500.0,83980.58,84012.08,23541966.9975,-9803078.6233,-0.4164,-154265567.6591,0.2172,0.6126,0.1987,0.1692,Continuação
2025-03-20 22:30:00,84012.08,84311.33,84010.86,84141.31,18067732.9416,309845.0141,0.0171,-153955722.645,0.3768,0.4055,0.4095,0.123,Continuação
2025-03-20 23:00:00,84141.3,84150.0,83922.01,84042.46,15461554.7489,373528.7432,0.0242,-153582193.9019,0.4313,0.3977,0.2346,0.1767,Continuação
2025-03-20 23:30:00,84042.46,84360.0,84013.22,84223.39,18312838.2884,3220951.3387,0.1759,-150361242.5631,0.5034,0.3439,0.0823,0.187,Continuação
2025-03-21 00:00:00,84223.38,84475.0,84180.09,84276.24,19349627.0309,283095.4991,0.0146,-150078147.0641,0.4314,0.4091,0.0809,0.2867,Continuação
2025-03-21 00:30:00,84276.25,84535.27,84255.94,84507.07,12923250.5791,-118973.212,-0.0092,-150197120.2761,0.4036,0.4302,0.0751,0.4765,Continuação
2025-03-21 01:00:00,84507.08,84583.76,84383.59,84383.59,14113780.571,-1623143.5778,-0.115,-151820263.8539,0.351,0.436,0.2099,0.2513,Continuação
2025-03-21 01:30:00,84383.6,84789.62,84371.37,84775.07,15336574.8649,5604800.221,0.3655,-146215463.6329,0.5744,0.2441,0.0517,0.4894,Continuação
2025-03-21 02:00:00,84775.07,84850.33,84520.67,84630.43,18159204.0781,-86961.8554,-0.0048,-146302425.4883,0.3839,0.3951,0.2101,0.2424,Continuação
2025-03-21 02:30:00,84630.44,84753.36,84540.38,84685.4,10349350.6552,-29154.6552,-0.0028,-146331580.1434,0.3963,0.404,0.2293,0.168,Continuação
2025-03-21 03:00:00,84685.39,84731.21,84270.25,84434.78,16482675.8574,-6576713.2945,-0.399,-152908293.438,0.2283,0.576,0.2086,0.2789,Continuação
2025-03-21 03:30:00,84434.78,84500.0,84358.49,84451.96,11856130.6505,-4765429.0877,-0.4019,-157673722.5257,0.2304,0.6086,0.1231,0.3075,Continuação
